opd_um,r,g,b
0.0,59,40,80
0.1,56,25,107
0.2,43,23,95
0.3,94,66,115
0.4,138,97,96
0.5,143,104,87
0.6,100,38,98
0.7,44,20,120
0.8,72,91,108
0.9,94,101,99
1.0,134,112,80
1.1,142,48,114
1.2,118,40,117
1.3,90,28,119
1.4,51,94,96
1.5,45,106,84
1.6,46,109,79
1.7,139,59,114
1.8,138,57,115
1.9,142,35,117
2.0,107,69,94
2.1,65,98,88
2.2,56,95,109
2.3,120,63,121
2.4,137,52,103
2.5,140,43,94
2.6,100,95,108
2.7,70,100,119
2.8,40,87,115
2.9,66,74,100
-0.1,94,23,54
-0.2,49,76,104
-0.3,49,75,102
-0.4,75,100,121
-0.5,119,43,67
-0.6,119,22,65
-0.7,113,27,73
-0.8,62,56,113
-0.9,97,84,58
-1.0,53,100,100
-1.1,124,51,71
-1.2,129,26,75
-1.3,115,50,115
-1.3,114,52,113
-1.4,34,100,70
-1.5,73,84,109
-1.6,46,95,76
-1.7,98,48,88
-1.8,126,64,104
-1.9,127,47,110
-2.0,71,93,72
-2.1,90,95,66
-2.2,62,44,111
-2.3,76,44,110
-2.4,65,53,106
-2.5,126,76,74
-2.6,127,67,83
-2.7,87,75,101
-2.8,52,58,110
-2.9,86,64,75
-3.0,114,80,83
