opd_um,r,g,b
-1.5,114,80,83
-1.45,86,64,75
-1.4,52,58,110
-1.35,87,75,101
-1.3,127,67,83
-1.25,126,76,74
-1.2,65,53,106
-1.15,76,44,110
-1.1,62,44,111
-1.05,90,95,66
-1,71,93,72
-0.95,127,47,110
-0.9,126,64,104
-0.85,98,48,88
-0.8,46,95,76
-0.75,73,84,109
-0.7,34,100,70
-0.65,115,50,115
-0.6,129,26,75
-0.55,124,51,71
-0.5,53,100,100
-0.45,97,84,58
-0.4,62,56,113
-0.35,113,27,73
-0.3,119,22,65
-0.25,119,43,67
-0.2,75,100,121
-0.15,49,75,102
-0.1,49,76,104
-0.05,94,23,54
0,59,40,80
0.05,56,25,107
0.1,43,23,95
0.15,94,66,115
0.2,138,97,96
0.25,143,104,87
0.3,100,38,98
0.35,44,20,120
0.4,72,91,108
0.45,94,101,99
0.5,134,112,80
0.55,142,48,114
0.6,118,40,117
0.65,90,28,119
0.7,51,94,96
0.75,45,106,84
0.8,46,109,79
0.85,139,59,114
0.9,138,57,115
0.95,142,35,117
1,107,69,94
1.05,65,98,88
1.1,56,95,109
1.15,120,63,121
1.2,137,52,103
1.25,140,43,94
1.3,100,95,108
1.35,70,100,119
1.4,40,87,115
1.45,66,74,100
